porsche992rgt3;Race;RACE;bathurst
Realistic;Clear;19C;track;19C;Winds;SE;14km/h;RH;94%;Fog;0%;Rain;0%
;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing; R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;25;2:02.674;22.785;23.838;17.349;10.903;25.739;21.574;24;79:30.266;3:18.761;3.273;20.767;3.123;100.0;0.0;0.0;--;--;11:15:35;326.0;1053.4;;19.4 °C;
;26;2:02.347;22.787;23.686;17.423;10.915;25.745;21.651;25;81:32.613;3:15.705;3.266;17.501;3.129;100.0;0.0;0.0;--;--;11:13:32;325.0;1053.3;;19.4 °C;
;27;2:02.737;22.778;23.715;17.354;10.950;25.683;21.657;26;83:35.350;3:12.898;3.320;14.180;3.136;100.0;0.0;0.0;--;--;11:11:30;324.0;1049.6;;19.4 °C;
;28;2:02.415;22.780;23.863;17.320;10.809;25.789;21.605;27;85:37.765;3:10.288;3.349;10.833;3.144;100.0;0.0;0.0;--;--;11:09:27;323.0;1054.4;;19.4 °C;
;29;2:02.691;22.695;23.866;17.429;10.907;25.713;21.971;28;87:40.456;3:07.873;3.308;7.525;3.150;100.0;0.0;0.0;--;--;11:07:24;322.0;1060.0;;19.4 °C;
;30;2:04.712;22.695;23.866;17.554;10.932;25.856;22.017;--;--;--;--;4.372;--;100.0;0.0;0.0;--;--;11:05:19;--;--;PIT;19.4 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LF O M I;61C;68C;75C;;RF I M O;78C;72C;67C;
;Tread;93.48%;84.10%;79.18%;;Tread;78.28%;80.59%;87.89%;
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LR O M I;61C;66C;70C;;RR I M O;74C;70C;67C;
;Tread;93.11%;88.01%;87.10%;;Tread;84.55%;84.49%;87.94%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;31;5:04.492;22.695;25.815;19.155;11.630;26.762;22.994;--;--;--;--;87.921;--;100.0;0.0;0.0;--;--;11:00:15;--;--;OUT 64.5 / 38.9;19.4 °C;
;32;4:39.231;57.821;54.607;33.567;15.368;57.029;39.351;1;4:39.231;4:39.231;3.279;84.639;3.279;100.0;0.0;0.0;--;--;10:55:36;318.0;958.7;;19.4 °C;
;33;2:06.190;23.743;25.727;18.887;13.239;57.029;38.565;2;6:45.421;3:22.710;3.279;81.358;3.279;100.0;0.0;0.0;--;--;10:53:30;316.0;955.5;;18.9 °C;
;34;2:03.386;23.612;26.189;18.324;11.598;26.547;23.035;3;8:48.807;2:56.269;3.279;78.078;3.279;100.0;0.0;0.0;--;--;10:51:26;313.0;948.9;;18.9 °C;
;35;2:02.887;23.349;24.590;17.961;11.609;27.438;22.463;4;10:51.694;2:42.924;3.279;74.806;3.279;100.0;0.0;0.0;--;--;10:49:24;311.0;945.6;;19.4 °C;
;36;2:02.644;23.070;24.591;17.922;11.249;26.201;21.924;5;12:54.338;2:34.868;3.279;71.530;3.279;100.0;0.0;0.0;--;--;10:47:21;310.0;945.6;;19.4 °C;
;37;2:02.420;23.112;24.227;17.810;11.764;26.158;21.908;6;14:56.758;2:29.460;3.279;68.246;3.279;100.0;0.0;0.0;--;--;10:45:19;308.0;945.6;;19.4 °C;
;38;2:03.591;23.055;24.108;17.868;11.376;27.354;22.005;7;17:00.349;2:25.764;3.279;64.965;3.279;100.0;0.0;0.0;--;--;10:43:14;310.0;952.2;;19.4 °C;
;39;2:02.398;23.063;24.457;17.789;11.677;26.057;21.903;8;19:02.747;2:22.843;3.279;61.701;3.279;100.0;0.0;0.0;--;--;10:41:12;309.0;952.2;;19.4 °C;
;40;2:02.251;22.995;24.316;17.791;11.677;25.905;23.964;9;21:04.998;2:20.555;3.279;58.410;3.279;100.0;0.0;0.0;--;--;10:39:10;308.0;952.2;;19.4 °C;
;41;2:02.100;23.060;23.832;17.486;10.855;25.800;33.086;10;23:07.098;2:18.710;3.279;55.139;3.279;100.0;0.0;0.0;--;--;10:37:09;308.0;955.5;;19.4 °C;
;42;2:02.084;22.909;23.704;17.305;10.742;25.789;21.668;11;25:09.182;2:17.198;3.279;51.846;3.279;100.0;0.0;0.0;--;--;10:35:06;308.0;958.8;;19.4 °C;
;43;2:02.202;22.806;23.627;17.306;10.824;25.735;21.572;12;27:11.384;2:15.949;3.279;48.578;3.279;100.0;0.0;0.0;--;--;10:33:04;307.0;958.7;;19.4 °C;
;44;2:01.941;22.772;23.616;17.302;10.713;25.675;21.530;13;29:13.325;2:14.871;3.279;45.301;3.279;100.0;0.0;0.0;--;--;10:31:02;306.0;958.7;;19.4 °C;
;45;2:02.021;22.824;23.589;17.260;10.781;25.616;21.602;14;31:15.346;2:13.953;3.279;42.025;3.279;100.0;0.0;0.0;--;--;10:29:00;305.0;958.7;;19.4 °C;
;46;2:02.015;23.074;23.625;17.257;10.750;25.664;21.771;15;33:17.361;2:13.157;3.279;38.729;3.279;100.0;0.0;0.0;--;--;10:26:58;304.0;958.7;;19.4 °C;
;47;2:02.092;22.765;23.627;17.256;10.889;25.647;21.609;16;35:19.453;2:12.466;3.279;35.457;3.279;100.0;0.0;0.0;--;--;10:24:56;303.0;958.8;;19.4 °C;
;48;2:03.112;22.858;23.696;17.317;10.995;25.782;21.615;17;37:22.564;2:11.916;3.279;32.185;3.279;100.0;0.0;0.0;--;--;10:22:52;302.0;962.0;;19.4 °C;
;49;2:01.927;22.747;23.963;17.343;10.753;25.738;21.603;18;39:24.491;2:11.361;3.279;28.908;3.279;100.0;0.0;0.0;--;--;10:20:51;301.0;958.7;;19.4 °C;
;50;2:02.326;22.819;23.622;17.231;10.732;25.723;21.760;19;41:26.816;2:10.885;3.279;25.616;3.279;100.0;0.0;0.0;--;--;10:18:48;300.0;958.7;;19.4 °C;
;51;2:01.755;22.869;23.731;18.058;11.665;26.312;21.679;20;43:28.572;2:10.429;3.279;22.333;3.279;100.0;0.0;0.0;--;--;10:16:47;299.0;958.7;;19.4 °C;
;52;2:03.090;22.786;23.642;17.244;10.745;25.721;21.663;21;45:31.662;2:10.079;3.279;19.058;3.279;100.0;0.0;0.0;--;--;10:14:44;298.0;958.7;;19.4 °C;
;53;2:02.298;22.769;23.553;17.916;11.568;25.649;21.541;22;47:33.960;2:09.725;3.279;15.788;3.279;100.0;0.0;0.0;--;--;10:12:42;296.0;958.7;;19.4 °C;
;54;2:01.704;22.726;23.602;18.123;11.266;26.413;21.639;23;49:35.664;2:09.377;3.279;12.507;3.279;100.0;0.0;0.0;--;--;10:10:39;295.0;955.5;;20.0 °C;
;55;2:03.696;22.889;23.579;17.172;10.718;26.195;21.519;24;51:39.360;2:09.140;3.279;9.224;3.279;100.0;0.0;0.0;--;--;10:08:36;294.0;955.5;;20.0 °C;
;56;2:02.178;22.710;23.602;17.651;11.282;25.791;21.503;25;53:41.538;2:08.862;3.279;5.950;3.279;100.0;0.0;0.0;--;--;10:06:33;293.0;955.5;;20.0 °C;
;57;2:01.922;22.804;23.572;17.521;10.912;25.862;21.592;26;55:43.460;2:08.595;3.279;2.671;3.279;100.0;0.0;0.0;--;--;10:04:32;292.0;955.5;;20.0 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LF O M I;61C;68C;75C;;RF I M O;78C;72C;67C;
;Tread;93.48%;84.10%;79.18%;;Tread;78.28%;80.59%;87.89%;
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LR O M I;61C;66C;70C;;RR I M O;74C;70C;67C;
;Tread;93.11%;88.01%;87.10%;;Tread;84.55%;84.49%;87.94%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;60;2:02.410;22.794;23.775;17.163;10.726;25.699;21.541;--;--;--;--;91.410;--;100.0;0.0;0.0;--;--;9:58:25;--;--;PIT;20.0 °C;
;61;3:05.174;22.625;25.070;18.541;10.991;25.596;21.670;--;--;--;--;88.313;--;100.0;0.0;0.0;--;--;9:55:21;--;--;OUT 63.4 / 41.1;20.0 °C;
;62;2:07.425;23.553;24.451;18.468;11.507;26.450;22.446;1;2:07.425;2:07.425;3.279;85.027;3.279;100.0;0.0;0.0;--;--;9:53:13;288.0;860.0;;20.0 °C;
;63;4:14.808;28.352;47.650;42.841;20.616;1:04.650;48.664;2;6:22.232;3:11.116;3.279;81.748;3.279;100.0;0.0;0.0;--;--;9:48:59;286.0;856.7;;20.0 °C;
;64;4:57.668;52.102;53.241;47.306;23.913;1:10.051;50.710;3;11:19.900;3:46.633;3.279;78.469;3.279;100.0;0.0;0.0;--;--;9:44:01;281.0;843.6;;20.0 °C;
;65;4:37.618;53.763;48.255;45.148;21.042;1:04.303;50.710;4;15:57.518;3:59.380;3.279;75.192;3.279;100.0;0.0;0.0;--;--;9:39:23;221.0;650.1;;20.0 °C;
;66;2:06.247;23.417;24.809;18.142;11.038;26.181;21.903;5;18:03.765;3:36.753;3.279;71.911;3.279;100.0;0.0;0.0;--;--;9:37:17;176.0;505.8;;20.0 °C;
;67;2:03.661;23.088;23.909;17.500;10.804;25.823;21.728;6;20:07.426;3:21.238;3.279;68.629;3.279;100.0;0.0;0.0;--;--;9:35:13;174.0;502.6;;20.0 °C;
;68;2:03.203;22.938;23.802;17.500;10.740;25.811;21.628;7;22:10.629;3:10.090;3.279;65.358;3.279;100.0;0.0;0.0;--;--;9:33:10;174.0;509.1;;20.0 °C;
;69;2:05.869;23.107;24.953;17.911;11.745;26.346;22.348;8;24:16.499;3:02.062;3.279;62.083;3.279;100.0;0.0;0.0;--;--;9:31:05;208.0;620.6;;20.0 °C;
;70;4:25.777;24.391;41.324;32.583;22.539;1:09.601;25.512;9;28:42.276;3:11.364;3.279;58.797;3.279;100.0;0.0;0.0;--;--;9:26:38;270.0;830.5;;20.0 °C;
;71;4:50.944;56.438;59.417;46.854;17.330;1:07.591;48.998;10;33:33.219;3:21.322;3.279;55.521;3.279;100.0;0.0;0.0;--;--;9:21:48;268.0;823.9;;20.0 °C;
;72;4:36.172;56.391;45.880;44.643;19.189;1:04.715;43.929;11;38:09.391;3:28.126;3.279;52.234;3.279;100.0;0.0;0.0;--;--;9:17:11;208.0;630.4;;20.0 °C;
;73;3:58.864;46.328;36.456;31.623;16.891;58.812;48.354;12;42:08.256;3:30.688;3.279;48.967;3.279;100.0;0.0;0.0;--;--;9:13:13;167.0;499.3;;20.6 °C;
;74;2:04.658;23.152;25.981;19.636;11.768;25.949;38.943;13;44:12.914;3:24.070;3.279;45.674;3.279;100.0;0.0;0.0;--;--;9:11:07;145.0;430.4;;20.6 °C;
;75;2:03.068;23.147;24.171;17.638;12.080;26.142;22.520;14;46:15.982;3:18.284;3.279;42.407;3.279;100.0;0.0;0.0;--;--;9:09:05;144.0;430.4;;20.6 °C;
;76;2:02.453;22.965;23.986;17.816;11.212;26.096;21.857;15;48:18.435;3:13.229;3.279;39.124;3.279;100.0;0.0;0.0;--;--;9:07:02;171.0;522.2;;20.6 °C;
;77;2:02.194;22.943;24.000;17.669;11.185;25.982;21.636;16;50:20.629;3:08.789;3.279;35.854;3.279;100.0;0.0;0.0;--;--;9:05:00;213.0;663.2;;20.6 °C;
;78;2:02.195;22.948;23.952;17.535;11.254;25.973;21.872;17;52:22.823;3:04.872;3.279;32.564;3.279;100.0;0.0;0.0;--;--;9:02:58;262.0;827.2;;21.1 °C;
;79;2:02.198;22.766;23.988;17.498;11.254;25.973;21.703;18;54:25.021;3:01.390;3.279;29.295;3.279;100.0;0.0;0.0;--;--;9:00:55;262.0;830.5;;21.1 °C;
;80;2:03.446;22.766;23.988;17.498;11.254;25.973;21.703;--;--;--;--;26.004;--;100.0;0.0;0.0;--;--;8:58:51;--;--;PIT;21.1 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LF O M I;61C;68C;75C;;RF I M O;78C;72C;67C;
;Tread;93.48%;84.10%;79.18%;;Tread;78.28%;80.59%;87.89%;
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LR O M I;61C;66C;70C;;RR I M O;74C;70C;67C;
;Tread;93.11%;88.01%;87.10%;;Tread;84.55%;84.49%;87.94%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;81;4:41.286;23.010;26.877;26.346;21.245;1:07.963;25.392;--;--;--;--;93.722;--;100.0;0.0;0.0;--;--;8:54:11;--;--;OUT 46.0 / 23.4;21.1 °C;
;82;4:45.641;23.010;53.478;36.037;18.032;1:06.559;45.250;1;4:45.641;4:45.641;3.279;90.447;3.279;100.0;0.0;0.0;--;--;8:49:25;258.0;756.2;;21.1 °C;
;83;4:34.734;52.744;46.870;40.758;22.036;56.051;51.234;2;9:20.376;4:40.188;3.279;68.425;3.279;100.0;0.0;0.0;--;--;8:44:50;255.0;771.7;;21.1 °C;
;84;2:13.300;23.368;25.415;21.541;19.882;30.328;45.495;3;11:33.676;3:51.225;3.279;65.152;3.279;100.0;0.0;0.0;--;--;8:42:37;194.0;571.6;;21.1 °C;
;85;4:18.107;29.827;46.301;42.307;19.736;1:08.466;24.514;4;15:51.783;3:57.946;3.279;61.867;3.279;100.0;0.0;0.0;--;--;8:38:20;190.0;561.8;;21.7 °C;
;86;4:50.018;55.659;55.038;45.828;20.558;1:08.811;50.319;5;20:41.801;4:08.360;3.279;58.592;3.279;100.0;0.0;0.0;--;--;8:33:29;156.0;453.6;;21.7 °C;
;87;3:58.299;39.781;40.464;32.478;17.883;1:00.777;44.884;6;24:40.100;4:06.683;3.279;55.309;3.279;100.0;0.0;0.0;--;--;8:29:31;128.0;365.0;;21.7 °C;
;88;2:06.250;23.347;25.335;17.988;11.348;25.879;22.114;7;26:46.350;3:49.479;3.279;70.771;3.279;100.0;0.0;0.0;--;--;8:27:24;134.0;369.3;;22.2 °C;
;89;2:03.104;23.297;25.286;19.416;11.753;26.110;22.678;8;28:49.455;3:36.182;3.279;48.755;3.279;100.0;0.0;0.0;--;--;8:25:21;159.0;473.3;;22.2 °C;
;90;2:02.507;23.570;24.273;17.840;11.641;26.110;23.229;9;30:51.961;3:25.773;3.279;45.470;3.279;100.0;0.0;0.0;--;--;8:23:19;160.0;483.1;;22.2 °C;
;91;2:04.001;23.120;24.199;17.647;11.060;26.018;44.879;10;32:55.962;3:17.596;3.279;60.938;3.279;100.0;0.0;0.0;--;--;8:21:15;195.0;579.1;;22.2 °C;
;92;2:03.866;22.984;23.939;17.628;11.067;25.909;21.943;11;34:59.828;3:10.893;3.279;38.914;3.279;100.0;0.0;0.0;--;--;8:19:11;238.0;742.1;;22.2 °C;
;93;2:04.826;22.783;23.936;17.346;10.920;25.898;22.666;12;37:04.654;3:05.388;3.279;35.637;3.279;100.0;0.0;0.0;--;--;8:17:06;239.0;748.7;;22.8 °C;
;94;2:02.550;22.848;23.838;17.269;11.062;25.809;21.745;13;39:07.204;3:00.554;3.279;32.357;3.279;100.0;0.0;0.0;--;--;8:15:04;238.0;748.7;;22.8 °C;
;95;2:02.449;22.860;23.923;17.364;11.111;26.238;21.871;14;41:09.653;2:56.404;3.279;29.088;3.279;100.0;0.0;0.0;--;--;8:13:02;237.0;748.7;;22.8 °C;
;96;2:07.206;22.854;24.430;17.966;11.336;26.093;22.092;15;43:16.859;2:53.124;3.279;25.803;3.279;100.0;0.0;0.0;--;--;8:10:54;236.0;748.7;;22.8 °C;
;97;4:05.556;23.271;28.761;32.019;19.385;1:02.007;22.688;16;47:22.415;2:57.651;3.279;22.520;3.279;100.0;0.0;0.0;--;--;8:06:49;235.0;748.7;;22.8 °C;
;98;4:45.388;23.152;24.559;18.244;17.591;26.850;23.007;17;52:07.804;3:03.988;3.279;19.238;3.279;100.0;0.0;0.0;--;--;8:02:03;231.0;738.8;;22.8 °C;
;99;4:18.157;51.377;45.060;34.407;15.660;52.617;23.586;18;56:25.961;3:08.109;3.279;34.702;3.279;100.0;0.0;0.0;--;--;7:57:45;184.0;569.3;;22.8 °C;
;100;2:16.102;23.324;26.388;18.694;11.560;26.027;32.300;--;--;--;--;31.423;--;100.0;0.0;0.0;--;--;7:55:28;--;--;PIT;23.3 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LF O M I;61C;68C;75C;;RF I M O;78C;72C;67C;
;Tread;93.48%;84.10%;79.18%;;Tread;78.28%;80.59%;87.89%;
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LR O M I;61C;66C;70C;;RR I M O;74C;70C;67C;
;Tread;93.11%;88.01%;87.10%;;Tread;84.55%;84.49%;87.94%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;101;4:32.062;23.071;24.354;17.875;11.182;26.275;22.260;--;--;--;--;93.876;--;100.0;0.0;0.0;--;--;7:50:57;--;--;OUT 150.5 / 128.1;23.3 °C;
;102;2:06.352;22.952;24.084;17.822;11.124;26.177;21.786;1;2:06.352;2:06.352;3.094;90.782;3.094;100.0;0.0;0.0;--;--;7:48:51;149.0;392.9;;23.3 °C;
;103;2:04.591;22.985;24.024;18.031;11.175;26.070;21.986;2;4:10.943;2:05.472;3.187;87.594;3.141;100.0;0.0;0.0;--;--;7:46:46;175.0;480.4;;23.3 °C;
;104;2:03.763;23.010;23.858;17.687;11.158;26.193;21.905;3;6:14.706;2:04.902;3.276;84.319;3.186;100.0;0.0;0.0;--;--;7:44:42;220.0;625.4;;23.3 °C;
;105;2:07.416;22.934;23.947;17.574;11.084;26.159;21.715;--;--;--;--;81.225;--;100.0;0.0;0.0;--;--;7:42:34;--;--;PIT;23.3 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LF O M I;62C;69C;77C;;RF I M O;80C;74C;68C;
;Tread;99.29%;98.15%;97.48%;;Tread;97.42%;97.70%;98.52%;
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LR O M I;59C;64C;69C;;RR I M O;72C;69C;64C;
;Tread;98.92%;98.08%;97.97%;;Tread;97.63%;97.59%;98.14%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;106;2:41.444;23.018;23.986;17.755;11.136;26.128;21.771;--;--;--;--;93.701;--;100.0;0.0;0.0;--;--;7:39:53;--;--;OUT 31.1 / 8.7;23.9 °C;
;107;2:03.900;22.982;24.185;17.701;11.130;26.089;21.910;1;2:03.900;2:03.900;3.312;90.390;3.312;100.0;0.0;0.0;--;--;7:37:50;219.0;609.4;;23.9 °C;
;108;2:05.218;22.883;24.139;18.681;11.269;26.229;21.866;2;4:09.118;2:04.559;3.260;87.129;3.286;100.0;0.0;0.0;--;--;7:35:44;219.0;620.0;;24.4 °C;
;109;2:03.931;23.009;23.970;17.823;11.107;26.118;21.837;3;6:13.049;2:04.350;3.254;83.874;3.275;100.0;0.0;0.0;--;--;7:33:41;217.0;619.7;;24.4 °C;
;110;2:03.737;22.955;24.004;17.791;11.066;25.977;21.890;4;8:16.787;2:04.197;3.283;80.592;3.277;100.0;0.0;0.0;--;--;7:31:36;217.0;623.3;;24.4 °C;
;111;2:05.057;22.883;24.195;17.674;11.060;25.945;22.389;5;10:21.844;2:04.369;3.216;77.375;3.265;100.0;0.0;0.0;--;--;7:29:32;215.0;625.3;;24.4 °C;
;112;2:03.804;22.902;23.951;17.619;11.054;26.068;21.949;6;12:25.647;2:04.275;3.252;74.122;3.263;100.0;0.0;0.0;--;--;7:27:28;214.0;622.7;;25.0 °C;
;113;2:03.688;22.965;23.998;17.692;11.114;26.111;21.945;7;14:29.335;2:04.191;3.252;70.871;3.262;100.0;0.0;0.0;--;--;7:25:24;213.0;622.4;;25.0 °C;
;114;2:03.758;22.963;23.971;17.626;11.137;26.072;21.883;8;16:33.093;2:04.137;3.257;67.614;3.261;100.0;0.0;0.0;--;--;7:23:20;213.0;625.7;;25.6 °C;
;115;2:03.857;23.039;23.930;17.678;11.160;26.118;21.859;9;18:36.950;2:04.106;3.242;64.372;3.259;100.0;0.0;0.0;--;--;7:21:16;212.0;624.0;;25.6 °C;
;116;2:03.541;22.914;23.852;17.568;11.455;25.933;21.878;10;20:40.491;2:04.049;3.234;61.138;3.256;100.0;0.0;0.0;--;--;7:19:13;211.0;624.7;;25.0 °C;
;117;2:03.892;23.415;49.295;1:20.558;24.912;1:12.362;23.755;11;22:44.383;2:04.035;3.200;57.937;3.251;100.0;0.0;0.0;--;--;7:17:09;209.0;619.2;;25.0 °C;
;118;2:03.493;23.415;49.295;1:20.558;24.912;1:12.362;23.755;12;24:47.877;2:03.990;3.229;54.707;3.249;100.0;0.0;0.0;--;--;7:15:05;208.0;618.3;;25.6 °C;
;119;2:04.046;23.415;49.295;1:20.558;24.912;1:12.362;23.755;13;26:51.923;2:03.994;3.202;51.505;3.246;100.0;0.0;0.0;--;--;7:13:01;207.0;616.0;;25.6 °C;
;120;2:03.344;23.415;49.295;1:20.558;24.912;1:12.362;23.755;14;28:55.267;2:03.948;3.238;48.266;3.245;100.0;0.0;0.0;--;--;7:10:58;207.0;619.1;;26.1 °C;
;121;2:03.945;23.415;49.295;1:20.558;24.912;1:12.362;23.755;15;30:59.212;2:03.947;3.181;45.086;3.241;100.0;0.0;0.0;--;--;7:08:54;206.0;616.9;;25.6 °C;
